,CLASSIFICATION,CLASSIFICATION_CODE,Area,bachelor_leased_q4,bachelor_avg_lease_rate_q4,1_bedroom_leased_q4,1_bedroom_avg_lease_rate_q4,2_bedrooms_leased_q4,2_bedrooms_avg_lease_rate_q4,3_bedrooms_leased_q4,3_bedrooms_avg_lease_rate_q4,bachelor_leased_q3,bachelor_avg_lease_rate_q3,1_bedroom_leased_q3,1_bedroom_avg_lease_rate_q3,2_bedrooms_leased_q3,2_bedrooms_avg_lease_rate_q3,3_bedrooms_leased_q3,3_bedrooms_avg_lease_rate_q3,bachelor_leased_q2,bachelor_avg_lease_rate_q2,1_bedroom_leased_q2,1_bedroom_avg_lease_rate_q2,2_bedrooms_leased_q2,2_bedrooms_avg_lease_rate_q2,3_bedrooms_leased_q2,3_bedrooms_avg_lease_rate_q2,bachelor_leased_q1,bachelor_avg_lease_rate_q1,1_bedroom_leased_q1,1_bedroom_avg_lease_rate_q1,2_bedrooms_leased_q1,2_bedrooms_avg_lease_rate_q1,3_bedrooms_leased_q1,3_bedrooms_avg_lease_rate_q1,area_sq_meters,perimeter_meters,park_count,ASSAULT_2022,ASSAULT_RATE_2022,AUTOTHEFT_2022,AUTOTHEFT_RATE_2022,BIKETHEFT_2022,BIKETHEFT_RATE_2022,BREAKENTER_2022,BREAKENTER_RATE_2022,HOMICIDE_2022,HOMICIDE_RATE_2022,ROBBERY_2022,ROBBERY_RATE_2022,SHOOTING_2022,SHOOTING_RATE_2022,THEFTFROMMV_2022,THEFTFROMMV_RATE_2022,THEFTOVER_2022,THEFTOVER_RATE_2022,total_stop_count,avg_stop_frequency,max_stop_frequency,total_line_length_meters,transit_line_density,distinct_route_count
50,Not an NIA or Emerging Neighbourhood,,Toronto C04,1,1950,15,2456,10,2982,5,3157,2,1700,30,2242,17,3775,2,5600,2,1548,29,2174,25,3193,2,4700,4,1692,16,2181,36,2646,2,5460,0.0006167085381976,0.1294766553660257,11,42,177.222671508789,172,725.76904296875,6.0,25.3175239562988,64,270.053588867188,,,12.0,50.6350479125977,,,53,223.638122558594,8.0,33.7566986083984,73,360.67123287671234,983,2.193649619486584,2.192297610831714,15
51,Not an NIA or Emerging Neighbourhood,,Toronto E11,0,0,9,2139,7,2546,2,2950,0,0,6,2233,18,2530,1,3000,0,0,10,2010,10,2445,0,0,0,0,8,1956,13,2288,1,2250,0.0009601269829485,0.2144437927225682,15,62,277.330474853516,68,304.168914794922,4.0,17.8922882080078,22,98.407585144043,,,14.0,62.6230087280273,3.0,13.4192161560059,57,254.965103149414,4.0,17.8922882080078,59,325.3050847457627,872,1.413493803395774,1.4121379716255702,12
52,Neighbourhood Improvement Area,NIA,Toronto W09,0,0,0,0,5,2786,3,3000,0,0,1,2150,14,2482,3,2733,0,0,1,1850,7,2479,0,0,0,0,2,1775,2,2400,5,2409,0.000565598920394,0.1125471656557137,10,132,569.898986816406,121,522.407409667969,5.0,21.5870819091797,15,64.7612457275391,,,10.0,43.1741638183594,1.0,4.31741666793823,69,297.901733398438,6.0,25.9044990539551,50,322.74,422,1.1928110877360942,1.192136816439754,9
53,Not an NIA or Emerging Neighbourhood,,Toronto C02,14,2123,97,2626,63,4682,6,17440,14,2186,204,2743,98,4026,12,4889,14,1816,200,2435,110,3789,13,5461,12,1815,123,2513,104,4340,14,4563,0.0002146666625808,0.0632948920896947,19,59,483.566925048828,30,245.881484985352,6.0,49.1762962341309,18,147.528884887695,,,10.0,81.9604949951172,1.0,8.19604969024658,21,172.117034912109,3.0,24.5881481170654,31,342.38709677419354,957,0.9343626709755796,0.9341621375072114,9
54,Not an NIA or Emerging Neighbourhood,,Toronto C07,0,0,118,2509,102,3122,14,3906,0,0,144,2460,143,3132,14,3625,1,1750,141,2282,149,2834,17,3321,0,0,131,2125,112,2813,19,3079,0.0005252473913338,0.0925795179255376,10,224,878.396911621094,173,678.40478515625,15.0,58.8212242126465,36,141.170928955078,1.0,3.92141485214233,30.0,117.642448425293,2.0,7.84282970428467,108,423.512817382813,13.0,50.9783935546875,82,354.6219512195122,1344,1.0976450236355249,1.097068791114878,12
55,Not an NIA or Emerging Neighbourhood,,Toronto E01,6,1774,44,2465,19,3183,1,4100,1,1700,44,2430,31,2994,1,3850,0,0,69,2324,32,2925,0,0,3,1600,48,2157,32,2858,2,3495,0.0012309822495102,0.4534844339316388,33,300,994.530090332031,77,255.262725830078,52.0,172.385208129883,101,334.825134277344,1.0,3.31510019302368,39.0,129.288909912109,6.0,19.8906021118164,80,265.2080078125,22.0,72.9322052001953,106,510.9905660377359,1182,1.2387914514816076,1.2372683960481925,17
56,Not an NIA or Emerging Neighbourhood,,Toronto C12,0,0,4,2828,8,4400,0,0,0,0,9,2806,13,3757,1,2400,0,0,11,2372,6,3042,7,3050,0,0,8,1806,14,3013,3,2300,0.0008212372190435,0.1489475335458081,20,61,339.322479248047,86,478.389038085938,8.0,44.5013084411621,52,289.258483886719,,,8.0,44.5013084411621,,,52,289.258483886719,13.0,72.3146209716797,119,270.0504201680672,924,0.9021977303808768,0.9014574199961932,18
57,Not an NIA or Emerging Neighbourhood,,Toronto E01,6,1774,44,2465,19,3183,1,4100,1,1700,44,2430,31,2994,1,3850,0,0,69,2324,32,2925,0,0,3,1600,48,2157,32,2858,2,3495,0.000199403080974,0.0598676482889966,6,78,651.574645996094,29,242.252105712891,21.0,175.423934936523,30,250.60563659668,,,11.0,91.8887329101563,,,29,242.252105712891,3.0,25.0605621337891,31,686.0322580645161,1357,0.961448489028036,0.9612568114582242,11
58,Not an NIA or Emerging Neighbourhood,,Toronto W01,0,0,90,2510,76,3012,9,4029,1,2100,71,2469,31,3240,1,3700,1,2000,40,2364,19,2972,6,3950,1,2300,58,2266,19,3099,1,3150,0.0005979158323063,0.118002359743504,13,93,384.74267578125,75,310.2763671875,14.0,57.9182510375977,50,206.85090637207,1.0,4.13701820373535,10.0,41.3701820373535,3.0,12.4110536575317,41,169.617736816406,5.0,20.6850910186768,78,265.28205128205127,872,1.850046828461072,1.8489413171745277,22
59,Not an NIA or Emerging Neighbourhood,,Toronto C07,0,0,118,2509,102,3122,14,3906,0,0,144,2460,143,3132,14,3625,1,1750,141,2282,149,2834,17,3321,0,0,131,2125,112,2813,19,3079,0.0003224568995961,0.0823529207935802,14,119,639.063415527344,45,241.662643432617,16.0,85.9244918823242,30,161.108428955078,,,3.0,16.1108417510986,,,46,247.032913208008,9.0,48.3325271606445,31,351.5483870967742,842,1.429044985997563,1.428584329123982,10
60,Not an NIA or Emerging Neighbourhood,,Toronto W09,0,0,0,0,5,2786,3,3000,0,0,1,2150,14,2482,3,2733,0,0,1,1850,7,2479,0,0,0,0,2,1775,2,2400,5,2409,0.0006161705885669,0.1320879766666214,16,98,413.22314453125,107,451.172210693359,5.0,21.0828132629395,27,113.847190856934,,,15.0,63.2484397888184,4.0,16.8662509918213,66,278.293121337891,5.0,21.0828132629395,80,251.9125,515,1.0501511715364034,1.049504497732332,12
61,Not an NIA or Emerging Neighbourhood,,Toronto W06,2,1853,204,2521,139,3194,2,6167,5,1525,257,2458,193,23232,3,5467,3,1633,315,2286,210,3178,6,4600,1,1650,246,2183,138,3104,4,4913,0.0001760551708287,0.1735181269773425,5,121,519.35791015625,53,227.487335205078,25.0,107.305351257324,27,115.889778137207,2.0,8.58442783355713,8.0,34.3377113342285,3.0,12.8766422271729,66,283.2861328125,12.0,51.5065689086914,27,317.1481481481481,694,0.5080139358556139,0.5079245131186887,7
62,Not an NIA or Emerging Neighbourhood,,Toronto C08,103,2151,657,2523,312,3419,17,4221,172,2131,1159,2533,287,3456,57,4461,193,1820,1208,2245,682,3059,63,3779,100,1728,943,2134,430,2980,31,3504,0.0001559173643994,0.0686494383267845,14,548,2131.79809570313,59,229.518402099609,90.0,350.112823486328,129,501.828369140625,3.0,11.6704273223877,66.0,256.749389648438,9.0,35.0112800598145,92,357.893096923828,16.0,62.2422790527344,62,570.1774193548387,1284,0.9275444746160618,0.9273998768715156,14
63,Not an NIA or Emerging Neighbourhood,,Toronto W06,2,1853,204,2521,139,3194,2,6167,5,1525,257,2458,193,23232,3,5467,3,1633,315,2286,210,3178,6,4600,1,1650,246,2183,138,3104,4,4913,0.0006113432404071,0.1450659592098735,19,343,1661.58020019531,63,305.188201904297,23.0,111.417915344238,47,227.680084228516,,,16.0,77.5081176757813,1.0,4.84425735473633,64,310.032470703125,11.0,53.2868270874023,83,263.6385542168675,529,0.9646523598721952,0.9640629864820828,12
64,Not an NIA or Emerging Neighbourhood,,Toronto W03,1,1500,2,2025,2,2723,1,3150,3,1508,8,2073,5,3010,0,0,3,1417,7,1878,2,2200,0,0,2,1428,6,1762,3,2375,1,2800,0.0002478582262141,0.0659386122355664,11,154,701.019653320313,64,291.332855224609,12.0,54.6249084472656,39,177.530960083008,,,22.0,100.145668029785,3.0,13.6562271118164,47,213.947555541992,5.0,22.7603778839111,37,528.918918918919,1507,1.1748396389281848,1.1745485174160557,11
65,Not an NIA or Emerging Neighbourhood,,Toronto W06,2,1853,204,2521,139,3194,2,6167,5,1525,257,2458,193,23232,3,5467,3,1633,315,2286,210,3178,6,4600,1,1650,246,2183,138,3104,4,4913,0.0005552477130279,0.0985688755681679,12,43,324.332489013672,69,520.440490722656,12.0,90.5113906860352,42,316.789855957031,3.0,22.6278476715088,7.0,52.7983093261719,1.0,7.54261589050293,31,233.821090698242,8.0,60.3409271240234,54,255.57407407407408,714,0.5341971055439098,0.5339006584243355,4
66,Not an NIA or Emerging Neighbourhood,,Toronto W08,2,1888,103,2391,88,2935,5,2941,0,0,130,2303,130,2864,7,3436,1,1650,127,2131,111,2716,5,3030,1,1650,124,2060,78,2528,7,3264,0.0006813890785557,0.1460110480372622,11,97,379.707183837891,96,375.792694091797,4.0,15.6580286026001,53,207.468872070313,,,26.0,101.777183532715,,,74,289.673522949219,8.0,31.3160572052002,88,323.8068181818182,1202,1.7623606299739314,1.7611605943793385,16
67,Not an NIA or Emerging Neighbourhood,,Toronto E02,0,0,12,2361,10,3259,2,5725,2,1700,23,2215,16,3178,1,5750,4,1662,10,2309,12,3016,0,0,2,1675,17,2116,10,2690,0,0,0.0002946768900603,0.0799849514247931,15,219,937.821166992188,41,175.573822021484,45.0,192.702987670898,69,295.477905273438,,,24.0,102.774925231934,2.0,8.56457710266113,83,355.429931640625,12.0,51.3874626159668,71,390.1690140845071,888,1.800304281971775,1.7997739301872155,21
68,Neighbourhood Improvement Area,NIA,Toronto W10,0,0,15,2324,13,2682,6,2906,0,0,24,2286,12,2635,3,2617,0,0,24,2009,18,2453,2,2725,0,0,24,1907,22,2337,0,0,0.0003732847410832,0.1186376726781559,8,52,488.171234130859,55,516.3349609375,,,17,159.594436645508,,,16.0,150.206527709961,5.0,46.9395408630371,22,206.533981323242,2.0,18.7758159637451,45,226.6888888888889,597,0.8175443954057248,0.8172393324331143,10
69,Neighbourhood Improvement Area,NIA,Toronto E03,1,1495,27,1816,5,2283,0,0,6,1620,18,1779,9,2664,2,3125,3,1532,15,1812,8,2200,0,0,2,1523,9,1776,7,2143,2,2388,0.0001187062737725,0.061358323876447,3,115,719.78466796875,15,93.8849563598633,11.0,68.8489685058594,25,156.47492980957,1.0,6.25899744033813,10.0,62.589973449707,3.0,18.7769927978516,58,363.021850585938,4.0,25.0359897613525,32,330.25,467,0.7382923832352691,0.7382047536996763,12
70,Neighbourhood Improvement Area,NIA,Toronto E06,0,0,1,2500,0,0,0,0,0,0,8,1905,13,2815,0,0,0,0,6,2125,7,2557,0,0,0,0,1,1900,8,2266,1,2950,0.0002097697458174,0.0820492473055384,13,186,1252.01940917969,23,154.819595336914,7.0,47.119010925293,35,235.59504699707,,,11.0,74.0441589355469,1.0,6.73128700256348,62,417.339782714844,7.0,47.119010925293,51,340.84313725490193,910,1.9608086370479887,1.9603974049826447,21
71,Not an NIA or Emerging Neighbourhood,,Toronto C15,11,2018,284,2463,137,3005,13,4112,17,2000,433,2380,209,3042,20,3788,7,1793,345,2189,151,2789,8,3306,12,1681,380,2054,181,2610,16,3099,0.0006036863499526,0.1040865157003621,10,46,267.909149169922,16,93.185791015625,,,31,180.547470092773,,,32.0,186.37158203125,1.0,5.82411193847656,46,267.909149169922,5.0,29.1205596923828,69,341.536231884058,1265,1.004438618604166,1.0038326185547073,10
72,Neighbourhood Improvement Area,NIA,Toronto C13,2,1965,37,2320,43,2950,4,3488,1,1800,47,2303,48,2899,4,2875,2,1925,34,2079,44,2732,7,3343,1,1700,43,1961,35,2447,4,2763,0.0005313770796308,0.1268446361142778,11,117,629.743286132813,35,188.384735107422,5.0,26.9121055603027,38,204.531997680664,,,10.0,53.8242111206055,3.0,16.1472625732422,58,312.180419921875,3.0,16.1472625732422,65,251.0,623,0.8304654622678085,0.8300244063227543,9
73,Not an NIA or Emerging Neighbourhood,,Toronto C01,139,2122,1247,2662,535,3751,51,4825,295,2107,2216,2637,1076,3617,136,4969,282,1878,2347,2373,1126,3305,127,4471,164,1763,1796,2227,728,3197,67,4612,0.0001549185395743,0.0580852772979844,2,84,693.8134765625,10,82.5968475341797,37.0,305.608337402344,27,223.011474609375,,,17.0,140.414642333984,2.0,16.5193691253662,23,189.972747802734,6.0,49.55810546875,30,457.1333333333333,984,0.8287390211890567,0.8286106540366576,9
74,Not an NIA or Emerging Neighbourhood,,Toronto C08,103,2151,657,2523,312,3419,17,4221,172,2131,1159,2533,287,3456,57,4461,193,1820,1208,2245,682,3059,63,3779,100,1728,943,2134,430,2980,31,3504,4.732711653248155e-05,0.0283775859422897,4,224,1111.38671875,15,74.4232177734375,34.0,168.692626953125,38,188.538818359375,1.0,4.9615478515625,24.0,119.0771484375,4.0,19.84619140625,65,322.500610351563,5.0,24.8077392578125,15,412.3333333333333,823,0.5863601950434505,0.58633244561947,6
75,Not an NIA or Emerging Neighbourhood,,Toronto W01,0,0,90,2510,76,3012,9,4029,1,2100,71,2469,31,3240,1,3700,1,2000,40,2364,19,2972,6,3950,1,2300,58,2266,19,3099,1,3150,0.0001357471537458,0.0598563425655953,6,106,628.222595214844,26,154.092330932617,19.0,112.605941772461,32,189.652099609375,,,14.0,82.9727935791016,,,30,177.798843383789,4.0,23.7065124511719,29,526.2758620689655,984,0.7876921997675943,0.7875852873065102,11
76,Not an NIA or Emerging Neighbourhood,,Toronto C01,139,2122,1247,2662,535,3751,51,4825,295,2107,2216,2637,1076,3617,136,4969,282,1878,2347,2373,1126,3305,127,4471,164,1763,1796,2227,728,3197,67,4612,0.0001568621233896,0.0549487132362549,5,99,1225.09594726563,13,160.871185302734,116.0,1435.46594238281,39,482.613525390625,,,15.0,185.620590209961,1.0,12.3747062683105,39,482.613525390625,12.0,148.496475219727,30,407.6666666666667,709,0.933732813964416,0.933586369624109,10
77,Not an NIA or Emerging Neighbourhood,,Toronto C07,0,0,118,2509,102,3122,14,3906,0,0,144,2460,143,3132,14,3625,1,1750,141,2282,149,2834,17,3321,0,0,131,2125,112,2813,19,3079,0.0005977108120497,0.1183703530527513,14,66,385.064178466797,66,385.064178466797,1.0,5.83430576324463,37,215.86930847168,3.0,17.5029163360596,14.0,81.6802825927734,2.0,11.6686115264893,50,291.715270996094,11.0,64.177360534668,41,402.5853658536585,983,1.6437810944441638,1.642799175614872,17
78,Neighbourhood Improvement Area,NIA,Toronto W04,1,1650,24,2285,41,2675,6,3392,0,0,44,2218,47,2651,9,3015,2,1500,50,2066,24,2467,7,2807,2,1650,43,1929,25,2333,6,2733,0.0002866043009944,0.1130861771677219,16,242,1192.52941894531,99,487.852966308594,6.0,29.5668449401855,46,226.679153442383,2.0,9.85561561584473,32.0,157.689849853516,5.0,24.6390380859375,86,423.791442871094,9.0,44.350269317627,61,418.4590163934426,1205,1.096802434980622,1.0964881767531751,12
79,Not an NIA or Emerging Neighbourhood,,Toronto C09,0,0,19,2932,23,4017,1,6300,0,0,25,2709,26,3925,3,5757,0,0,22,2559,24,4234,2,4325,1,1500,14,2636,16,3603,2,4500,0.0005205361147924,0.1043872263695755,24,220,1018.75433349609,111,514.007873535156,76.0,351.933319091797,69,319.518402099609,1.0,4.63070154190063,21.0,97.2447357177734,2.0,9.26140308380127,45,208.381576538086,14.0,64.8298187255859,77,317.76623376623377,1052,2.621545898277645,2.620181998919878,14
80,Not an NIA or Emerging Neighbourhood,,Toronto E03,1,1495,27,1816,5,2283,0,0,6,1620,18,1779,9,2664,2,3125,3,1532,15,1812,8,2200,0,0,2,1523,9,1776,7,2143,2,2388,9.910658137942348e-05,0.051128831662617,5,97,1218.13391113281,19,238.603546142578,27.0,339.068176269531,31,389.300506591797,,,14.0,175.813140869141,1.0,12.5580806732178,43,539.997497558594,4.0,50.2323226928711,27,772.5185185185185,1510,1.2543213721345727,1.2541970729502967,13
81,Not an NIA or Emerging Neighbourhood,,Toronto E07,0,0,40,2305,35,2663,3,2817,0,0,48,2315,72,2681,3,2675,0,0,64,2005,49,2506,2,2500,0,0,44,1934,27,2381,0,0,0.0008125087712081,0.1344575932789796,10,78,266.220703125,49,167.241195678711,,,24,81.9140548706055,,,11.0,37.5439453125,1.0,3.41308569908142,45,153.5888671875,3.0,10.2392568588257,81,289.34567901234567,807,1.7552721280407235,1.7538471118789638,10
82,Neighbourhood Improvement Area,NIA,Toronto C11,4,1708,38,2202,19,3013,6,2850,1,1600,40,2222,45,2749,8,2914,2,1625,39,2031,30,2694,11,2773,5,1485,32,1916,30,2542,10,2938,0.0003492438826772,0.0821798836154386,5,113,513.146545410156,33,149.856948852539,16.0,72.6579208374023,52,236.138229370117,,,18.0,81.7401580810547,3.0,13.6233596801758,61,277.00830078125,10.0,45.4111976623535,50,499.66,1551,1.1584465387827667,1.1580420996635763,13
83,Not an NIA or Emerging Neighbourhood,,Toronto W01,0,0,90,2510,76,3012,9,4029,1,2100,71,2469,31,3240,1,3700,1,2000,40,2364,19,2972,6,3950,1,2300,58,2266,19,3099,1,3150,0.0001679051699463,0.0661799000251268,8,110,711.928039550781,23,148.857681274414,22.0,142.385604858398,53,343.019866943359,,,18.0,116.497314453125,1.0,6.47207307815552,45,291.243286132813,8.0,51.7765846252441,34,531.9705882352941,995,0.6787336028374427,0.6786196590882545,15
84,Not an NIA or Emerging Neighbourhood,,Toronto W08,2,1888,103,2391,88,2935,5,2941,0,0,130,2303,130,2864,7,3436,1,1650,127,2131,111,2716,5,3030,1,1650,124,2060,78,2528,7,3264,0.0002004905402838,0.0681570743723814,4,50,378.157623291016,31,234.457717895508,4.0,30.2526092529297,21,158.826202392578,,,4.0,30.2526092529297,1.0,7.56315231323242,54,408.410217285156,5.0,37.8157615661621,29,233.27586206896552,304,0.5492776176099533,0.5491675147182212,6
85,Not an NIA or Emerging Neighbourhood,,Toronto E01,6,1774,44,2465,19,3183,1,4100,1,1700,44,2430,31,2994,1,3850,0,0,69,2324,32,2925,0,0,3,1600,48,2157,32,2858,2,3495,0.0001050867529587,0.0429573159451001,3,48,606.903503417969,9,113.794410705566,6.0,75.8629379272461,23,290.807952880859,1.0,12.6438236236572,10.0,126.438232421875,2.0,25.2876472473145,14,177.013534545898,1.0,12.6438236236572,21,253.52380952380952,444,0.3740049015257775,0.373965602694872,4
86,Not an NIA or Emerging Neighbourhood,,Toronto C13,2,1965,37,2320,43,2950,4,3488,1,1800,47,2303,48,2899,4,2875,2,1925,34,2079,44,2732,7,3343,1,1700,43,1961,35,2447,4,2763,0.0011222246237441,0.2018184099794579,25,108,357.805450439453,56,185.528762817383,8.0,26.5041084289551,47,155.711639404297,,,20.0,66.2602691650391,3.0,9.939040184021,52,172.276702880859,11.0,36.4431495666504,125,444.36,1266,2.7864938042499428,2.7833702376322758,18
87,Not an NIA or Emerging Neighbourhood,,Toronto C08,103,2151,657,2523,312,3419,17,4221,172,2131,1159,2533,287,3456,57,4461,193,1820,1208,2245,682,3059,63,3779,100,1728,943,2134,430,2980,31,3504,7.708808179608682e-05,0.0352511192093287,6,122,611.436889648438,14,70.1648864746094,67.0,335.789093017578,43,215.506439208984,,,20.0,100.235549926758,1.0,5.01177787780762,26,130.306213378906,9.0,45.1059989929199,29,297.8965517241379,848,0.6498931766578072,0.6498430815011857,5
88,Not an NIA or Emerging Neighbourhood,,Toronto C06,1,2200,21,2364,20,2863,0,0,2,1800,31,2107,42,2712,3,3367,1,1625,35,2060,30,2536,0,0,0,0,39,1982,22,2341,1,3600,0.0004656990346162,0.1102598140050827,11,116,605.112182617188,163,850.286926269531,15.0,78.2472610473633,39,203.442886352539,,,17.0,88.6802291870117,1.0,5.21648406982422,63,328.638488769531,10.0,52.1648406982422,63,404.031746031746,1541,2.8945692844616886,2.893221913809497,19
89,Not an NIA or Emerging Neighbourhood,,Toronto C14,5,2130,261,2514,204,3124,19,3804,8,2029,360,2420,256,3076,22,3759,8,1828,273,2237,228,2890,11,3529,5,1768,229,2081,174,2716,7,3150,0.0003929598214855,0.0821842854183774,15,58,348.620544433594,45,270.4814453125,7.0,42.074893951416,40,240.427963256836,,,12.0,72.1283874511719,2.0,12.0213985443115,65,390.695434570313,13.0,78.1390838623047,37,234.6216216216216,798,0.5931145674753959,0.5928815888320864,5
90,Not an NIA or Emerging Neighbourhood,,Toronto C11,4,1708,38,2202,19,3013,6,2850,1,1600,40,2222,45,2749,8,2914,2,1625,39,2031,30,2694,11,2773,5,1485,32,1916,30,2542,10,2938,0.0005344975878532,0.1580264583178446,14,34,194.831237792969,79,452.696105957031,10.0,57.3033065795898,42,240.673889160156,,,5.0,28.6516532897949,1.0,5.73033046722412,62,355.280487060547,3.0,17.1909923553467,51,413.9607843137255,1401,0.6839048581563724,0.6835395079381771,14
91,Not an NIA or Emerging Neighbourhood,,Toronto W04,1,1650,24,2285,41,2675,6,3392,0,0,44,2218,47,2651,9,3015,2,1500,50,2066,24,2467,7,2807,2,1650,43,1929,25,2333,6,2733,0.0002822886398883,0.0679538804246783,3,56,525.032836914063,47,440.652526855469,,,21,196.887298583984,,,5.0,46.8779296875,1.0,9.37558555603027,19,178.136138916016,3.0,28.1267585754395,21,353.42857142857144,657,0.3247031515057711,0.3246115173620429,5
92,Neighbourhood Improvement Area,NIA,Toronto E08,0,0,5,2129,8,2654,1,2700,0,0,12,2279,21,2573,2,2738,1,1625,4,2200,19,2376,4,2788,1,1650,12,1940,25,2335,3,2500,0.000360247253044,0.1074635898005434,9,174,715.254638671875,45,184.979644775391,7.0,28.7746124267578,39,160.315704345703,1.0,4.11065912246704,25.0,102.766471862793,6.0,24.6639537811279,105,431.619201660156,9.0,36.9959297180176,47,414.25531914893617,1381,1.1334395214863933,1.133031350054923,23
93,Emerging Neighbourhood,EN,Toronto E04,0,0,12,2095,15,2545,3,2683,0,0,22,2170,22,2509,2,2725,0,0,17,1903,20,2411,0,0,0,0,13,1890,25,2275,2,2400,0.0006721593846206,0.1066135407245483,12,187,714.094787597656,69,263.489532470703,15.0,57.280330657959,73,278.764282226563,,,30.0,114.560661315918,5.0,19.0934429168701,80,305.495086669922,8.0,30.5495090484619,81,472.9753086419753,2135,2.2710670089158014,2.2695415152875147,19
94,Emerging Neighbourhood,EN,Toronto E05,0,0,26,2362,18,2794,7,2978,3,1813,36,2263,34,2753,5,2850,0,0,32,2183,23,2543,7,2701,0,0,13,1923,28,2459,5,2520,0.0003871363743677,0.0888814115957156,9,99,432.938293457031,31,135.566543579102,3.0,13.1193418502808,17,74.3429412841797,1.0,4.37311410903931,10.0,43.7311401367188,4.0,17.4924564361572,49,214.282592773438,5.0,21.8655700683594,54,269.27777777777777,796,0.8695668315948056,0.8692303209198742,10
95,Emerging Neighbourhood,EN,Toronto W09,0,0,0,0,5,2786,3,3000,0,0,1,2150,14,2482,3,2733,0,0,1,1850,7,2479,0,0,0,0,2,1775,2,2400,5,2409,0.0003130376108027,0.0942702480785674,6,32,288.808654785156,29,261.732849121094,4.0,36.1010818481445,10,90.2527084350586,1.0,9.02527046203613,9.0,81.2274398803711,1.0,9.02527046203613,18,162.454879760742,1.0,9.02527046203613,59,245.59322033898303,652,0.9261362043925534,0.9258463796538962,8
96,Not an NIA or Emerging Neighbourhood,,Toronto C15,11,2018,284,2463,137,3005,13,4112,17,2000,433,2380,209,3042,20,3788,7,1793,345,2189,151,2789,8,3306,12,1681,380,2054,181,2610,16,3099,0.0002900277853394,0.0970535110279734,7,90,401.803649902344,32,142.863525390625,7.0,31.2513942718506,36,160.721466064453,,,10.0,44.6448516845703,2.0,8.92897033691406,83,370.55224609375,10.0,44.6448516845703,35,265.51428571428573,781,1.1982062965908955,1.1978588842315523,15
97,Not an NIA or Emerging Neighbourhood,,Toronto W10,0,0,15,2324,13,2682,6,2906,0,0,24,2286,12,2635,3,2617,0,0,24,2009,18,2453,2,2725,0,0,24,1907,22,2337,0,0,0.0033683945179011,0.2836666140012758,21,264,733.679809570313,781,2170.46948242188,6.0,16.6745414733887,136,377.956268310547,1.0,2.77909016609192,70.0,194.536315917969,5.0,13.895450592041,464,1289.49780273438,61.0,169.524490356445,312,289.09615384615387,1499,7.250889413112757,7.226547549962113,22
98,Not an NIA or Emerging Neighbourhood,,Toronto W08,2,1888,103,2391,88,2935,5,2941,0,0,130,2303,130,2864,7,3436,1,1650,127,2131,111,2716,5,3030,1,1650,124,2060,78,2528,7,3264,0.0002944693575888,0.0914629976740406,9,21,221.752899169922,68,718.057006835938,6.0,63.3579711914063,13,137.275604248047,,,8.0,84.477294921875,,,22,232.312561035156,4.0,42.2386474609375,31,429.4516129032258,1279,2.1405712992383856,2.1399411521420366,12
99,Not an NIA or Emerging Neighbourhood,,Toronto W08,2,1888,103,2391,88,2935,5,2941,0,0,130,2303,130,2864,7,3436,1,1650,127,2131,111,2716,5,3030,1,1650,124,2060,78,2528,7,3264,0.000615382389398,0.1176128171114768,21,32,192.249923706055,76,456.593566894531,2.0,12.0156202316284,30,180.234298706055,,,6.0,36.0468597412109,2.0,12.0156202316284,39,234.304595947266,9.0,54.0702896118164,58,274.1896551724138,498,1.1891630990284576,1.1884317590529352,9
100,Neighbourhood Improvement Area,NIA,Toronto W05,3,1888,33,2314,17,2614,3,2933,0,0,73,2313,45,2652,3,3467,2,1600,98,2137,61,2507,0,0,7,1557,24,2022,12,2386,2,2775,0.0009258018046392,0.1535081470294786,14,141,714.394287109375,128,648.528137207031,4.0,20.2665042877197,32,162.132034301758,,,26.0,131.732284545898,3.0,15.199878692627,64,324.264068603516,15.0,75.9993896484375,90,513.1222222222223,1428,4.534730599679478,4.530536221070029,24
101,Neighbourhood Improvement Area,NIA,Toronto W05,3,1888,33,2314,17,2614,3,2933,0,0,73,2313,45,2652,3,3467,2,1600,98,2137,61,2507,0,0,7,1557,24,2022,12,2386,2,2775,0.0014812756594147,0.1994569645788375,16,345,1128.18835449219,235,768.476135253906,35.0,114.453887939453,128,418.57421875,3.0,9.81033325195313,51.0,166.775665283203,14.0,45.7815551757813,215,703.073913574219,59.0,192.936553955078,211,357.4834123222749,2079,6.302903617396416,6.293581088918847,24
102,Not an NIA or Emerging Neighbourhood,,Toronto C10,11,2030,203,2446,126,3135,6,3492,20,1962,260,2381,117,3429,1,3900,29,1761,319,2164,146,2934,4,3950,16,1694,218,2066,119,2789,2,2473,0.0001054805802829,0.0413270693015609,6,122,479.239501953125,10,39.281925201416,16.0,62.8510818481445,24,94.2766265869141,,,15.0,58.9228897094727,1.0,3.92819261550903,42,164.984085083008,3.0,11.7845783233643,23,492.0,1689,0.5000416201708425,0.499988881053534,12
